year,state,state_po,state_fips,state_cen,state_ic,district,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fips
2018,California,CA,6,93,71,0601,US House,1,gen,NA,FALSE,Doug La Malfa,republican,FALSE,total,160046,291594,FALSE,20200424,693711
2018,California,CA,6,93,71,0602,US House,2,gen,NA,FALSE,Jared Huffman,democrat,FALSE,total,243081,315657,FALSE,20200424,693712
2018,California,CA,6,93,71,0603,US House,3,gen,NA,FALSE,John Garamendi,democrat,FALSE,total,134875,232251,FALSE,20200424,693713
2018,California,CA,6,93,71,0604,US House,4,gen,NA,FALSE,Tom McClintock,republican,FALSE,total,184401,340654,FALSE,20200424,693714
2018,California,CA,6,93,71,0605,US House,5,gen,NA,FALSE,Mike Thompson,democrat,FALSE,total,205860,261018,FALSE,20200424,693715
2018,California,CA,6,93,71,0606,US House,6,gen,NA,FALSE,Doris Matsui,democrat,FALSE,total,162411,201939,FALSE,20200424,693716
2018,California,CA,6,93,71,0607,US House,7,gen,NA,FALSE,Ami Bera,democrat,FALSE,total,155016,281617,FALSE,20200424,693717
2018,California,CA,6,93,71,0608,US House,8,gen,NA,FALSE,Paul Cook,republican,FALSE,total,102415,170785,FALSE,20200424,693718
2018,California,CA,6,93,71,0609,US House,9,gen,NA,FALSE,Jerry McNerney,democrat,FALSE,total,113414,200763,FALSE,20200424,693719
2018,California,CA,6,93,71,0610,US House,10,gen,NA,FALSE,Josh Harder,democrat,FALSE,total,115945,221900,FALSE,20200424,6937110
2018,California,CA,6,93,71,0611,US House,11,gen,NA,FALSE,Mark DeSaulnier,democrat,FALSE,total,204369,275681,FALSE,20200424,6937111
2018,California,CA,6,93,71,0612,US House,12,gen,NA,FALSE,Nancy Pelosi,democrat,FALSE,total,275292,317072,FALSE,20200424,6937112
2018,California,CA,6,93,71,0613,US House,13,gen,NA,FALSE,Barbara Lee,democrat,FALSE,total,260580,294837,FALSE,20200424,6937113
2018,California,CA,6,93,71,0614,US House,14,gen,NA,FALSE,Jackie Speier,democrat,FALSE,total,211384,266823,FALSE,20200424,6937114
2018,California,CA,6,93,71,0615,US House,15,gen,NA,FALSE,Eric Swalwell,democrat,FALSE,total,177989,243929,FALSE,20200424,6937115
2018,California,CA,6,93,71,0616,US House,16,gen,NA,FALSE,Jim Costa,democrat,FALSE,total,82266,142959,FALSE,20200424,6937116
2018,California,CA,6,93,71,0617,US House,17,gen,NA,FALSE,Ro Khanna,democrat,FALSE,total,159105,211162,FALSE,20200424,6937117
2018,California,CA,6,93,71,0618,US House,18,gen,NA,FALSE,Anna G. Eshoo,democrat,FALSE,total,225142,302238,FALSE,20200424,6937118
2018,California,CA,6,93,71,0619,US House,19,gen,NA,FALSE,Zoe Lofgren,democrat,FALSE,total,162496,220319,FALSE,20200424,6937119
2018,California,CA,6,93,71,0620,US House,20,gen,NA,FALSE,Jimmy Panetta,democrat,FALSE,total,183677,225721,FALSE,20200424,6937120
